Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,126553,0
3/31/2022 11:59:59 PM,126834,0
3/31/2022 11:59:59 PM,127055,0
3/31/2022 11:59:59 PM,127224,0
3/31/2022 11:59:59 PM,128258,0
3/31/2022 11:59:59 PM,128904,87212
3/31/2022 11:59:59 PM,129349,0
3/31/2022 11:59:59 PM,129358,507
3/31/2022 11:59:59 PM,129479,0
3/31/2022 11:59:59 PM,129732,14830
3/31/2022 11:59:59 PM,129853,0
3/31/2022 11:59:59 PM,129910,0
3/31/2022 11:59:59 PM,130345,0
3/31/2022 11:59:59 PM,130541,0
3/31/2022 11:59:59 PM,130813,0
3/31/2022 11:59:59 PM,131034,0
3/31/2022 11:59:59 PM,131173,20918
3/31/2022 11:59:59 PM,131436,0
3/31/2022 11:59:59 PM,131717,0
3/31/2022 11:59:59 PM,131940,0
3/31/2022 11:59:59 PM,132107,8733
3/31/2022 11:59:59 PM,132451,0
3/31/2022 11:59:59 PM,132778,0
3/31/2022 11:59:59 PM,132938,0
3/31/2022 11:59:59 PM,133579,533
3/31/2022 11:59:59 PM,133850,0
3/31/2022 11:59:59 PM,133971,0
3/31/2022 11:59:59 PM,134156,0
3/31/2022 11:59:59 PM,134437,0
3/31/2022 11:59:59 PM,134455,980
3/31/2022 11:59:59 PM,134848,0
3/31/2022 11:59:59 PM,135836,0
3/31/2022 11:59:59 PM,135854,0
3/31/2022 11:59:59 PM,136048,0
3/31/2022 11:59:59 PM,136338,0
3/31/2022 11:59:59 PM,136459,0
3/31/2022 11:59:59 PM,136655,0
3/31/2022 11:59:59 PM,137205,1127
3/31/2022 11:59:59 PM,137447,381
3/31/2022 11:59:59 PM,137456,0
3/31/2022 11:59:59 PM,137559,0
3/31/2022 11:59:59 PM,137643,2251
3/31/2022 11:59:59 PM,137652,2076
3/31/2022 11:59:59 PM,137915,0
3/31/2022 11:59:59 PM,138051,0
3/31/2022 11:59:59 PM,138257,0
3/31/2022 11:59:59 PM,138556,0
3/31/2022 11:59:59 PM,139133,712
3/31/2022 11:59:59 PM,139478,0
3/31/2022 11:59:59 PM,139553,1617
3/31/2022 11:59:59 PM,139656,0
3/31/2022 11:59:59 PM,139740,2890
3/31/2022 11:59:59 PM,139834,0
3/31/2022 11:59:59 PM,139843,26366
3/31/2022 11:59:59 PM,140157,0
3/31/2022 11:59:59 PM,140362,31251
3/31/2022 11:59:59 PM,140634,0
3/31/2022 11:59:59 PM,141211,26587
3/31/2022 11:59:59 PM,141341,0
3/31/2022 11:59:59 PM,141350,244
3/31/2022 11:59:59 PM,141556,20816
3/31/2022 11:59:59 PM,141677,0
3/31/2022 11:59:59 PM,141958,25
3/31/2022 11:59:59 PM,142049,0
3/31/2022 11:59:59 PM,142179,0
3/31/2022 11:59:59 PM,142955,7314
3/31/2022 11:59:59 PM,143372,0
3/31/2022 11:59:59 PM,143662,522
3/31/2022 11:59:59 PM,143859,0
3/31/2022 11:59:59 PM,143952,0
